alias,Branch,InfoVis,Stats,Mathematics,Drawing,ComputerUsage,Programming,Graphics,HCI,UserExperienceEvaluation,Communication,Collaboration,CodeRepo
Monokuma,CS,3,3,4,6,8,6,5,3,3,5,5,5
NoobKiz,CS,7,7,6,4,8,8,4,7,5,7,7,9
Rella666,CS,6,5,6,7,6,3,5,5,3,7,7,2
Kropotkin42,CS,3,4,5,8,7,4,4,1,6,9,6,7
Kyrie11,CS,5,6,4,4,6,6,3,5,5,5,9,6
chiri,CS,5,2,2,9,7,6,3,6,4,5,5,9
Superwoman97,CS,2,3,5,6,7,2,1,3,6,10,5,4
cowboy55,CS,5,3,5,5,8,6,3,5,5,10,8,6
phips77,CS,3,6,3,4,5,3,1,1,6,9,8,6
Vis81,CS,3,5,5,6,7,5,2,4,3,4,7,6
Ellakingen,CS,3,1,5,7,7,7,2,2,2,10,5,5
Cinnamon-Bun,CS,3,5,7,4,9,6,2,3,1,8,7,7
Lapalus ,CS,6,6,5,9,8,8,4,6,8,7,8,6
4LB4,CS,3,3,5,7,7,5,2,5,5,7,8,5
Ray Primary,CS,4,4,8,6,9,7,5,3,2,9,7,7
papi33,CS,1,1,2,8,4,3,1,1,2,1,4,3
Mustang22,CS,3,4,6,7,7,5,2,3,5,7,6,3
e4c6,CS,2,3,4,1,4,3,3,2,2,6,7,4
DancingTomato2,HCI,2,4,5,6,8,7,2,2,1,10,8,7
Frogster,IMT,3,1,5,7,7,6,1,4,4,6,6,6
swoop11,IMT,3,6,6,4,8,7,2,4,6,8,8,10
Maximillianmus,IMT,1,4,4,6,7,6,5,4,1,4,5,4
hexachord,Finance,4,6,7,4,8,8,5,4,4,7,7,8
Mark Hamill,HCI,2,2,3,2,6,3,3,4,3,8,7,1
Spike123,HCI,5,7,8,7,8,7,1,1,5,7,7,7
sejfz,IS,1,3,6,10,9,6,5,6,7,3,6,6
Lol123,MM,1,2,4,1,3,2,1,1,2,6,5,1
Pencil12,MT,6,5,6,7,8,6,2,5,4,8,7,6
Jericho,MT,5,5,6,4,6,6,5,3,2,3,5,4
no one,MT,3,6,8,1,8,8,7,3,1,5,5,5
C3I2,MT,6,9,6,2,8,6,5,6,7,8,6,6
Monsterhunter98,MT,4,4,6,4,7,7,4,4,4,6,6,6
raspberry666,MT,1,3,6,3,7,6,5,6,2,8,7,3
User14,MT,3,5,5,5,8,5,3,6,6,10,8,4
solarpunk,MT,4,3,5,9,9,5,5,6,6,10,10,4
shuriken,MT,3,3,3,3,7,7,3,3,3,7,4,10
seed2,MT,3,5,5,3,7,3,1,3,3,7,8,1
Unchain,MT,1,2,2,9,9,9,5,7,1,9,9,7
AGreatAlias19,MT,1,2,5,7,7,2,1,3,6,10,8,2
ratponto,MT,6,8,8,7,9,7,5,7,6,6,7,7
Banana,MT,2,3,7,3,8,5,1,2,2,10,9,7
JoHa,Other,6,9,9,8,9,8,7,6,6,7,6,9
ginger,Transport,1,5,8,5,6,10,6,5,1,1,7,9
