x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,color
0,51.25,50,0,100.2,100,0,155.375,150,0,198.3,200,#FF0000
20,51.25,50,20,100.2,100,20,155.395,150,20,198.31,200,#FF0000
40,51.25,50,40,100.3875,100,40,155.74625,150,40,198.79,200,#FF0000
60,56.875,50,60,101.2375,100,60,156.575,150,60,199.773,200,yellow
80,74.3125,50,80,114.4,100,80,182.05,150,80,206.93,200,yellow
100,80.825,50,100,134.575,100,100,210.3375,150,100,258.16,200,yellow
120,86.275,50,120,139.975,100,120,217.3125,150,120,273.36,200,yellow
140,88.9875,50,140,144.08,100,140,222.855,150,140,281.668,200,yellow
160,91.65,50,160,147.35,100,160,227.6625,150,160,291.15,200,yellow
180,94.025,50,180,149.435,100,180,231.6,150,180,298.664,200,blue
200,96.2375,50,200,151.525,100,200,234.4825,150,200,303.12,200,blue
220,97.5,50,220,152.7625,100,220,236.8,150,220,306.61,200,blue
240,98.625,50,240,154.5275,100,240,239.35,150,240,309.85,200,blue
260,100.2125,50,260,155.925,100,260,241.705,150,260,312.664,200,blue
280,101.1375,50,280,157.45,100,280,243.3,150,280,315.58,200,blue
300,102.25,50,300,158.34,100,300,245.085,150,300,317.7,200,blue
320,103.2375,50,320,159.225,100,320,246.45,150,320,319.57,200,blue
340,104.3625,50,340,160.2625,100,340,247.695,150,340,321.69,200,blue
360,105.1875,50,360,161.2575,100,360,248.9175,150,360,323.416,200,blue
380,105.85,50,380,162.405,100,380,250.26875,150,380,324.642,200,blue
400,106.375,50,400,163.1425,100,400,251.69,150,400,326.216,200,blue
420,106.995,50,420,163.9425,100,420,252.88,150,420,327.71,200,blue
440,107.7425,50,440,164.7075,100,440,254.225,150,440,329.09,200,blue
460,108.4025,50,460,165.3275,100,460,255.325,150,460,329.97,200,blue
480,109.275,50,480,165.95,100,480,256.3725,150,480,331.19,200,blue
500,110.25,50,500,166.5825,100,500,257.2275,150,500,332.41,200,blue
520,110.9875,50,520,167.4875,100,520,257.9275,150,520,333.394,200,blue
540,111.4625,50,540,168.0425,100,540,258.665,150,540,334.342,200,blue
560,112.1125,50,560,168.475,100,560,259.575,150,560,335.16,200,blue
580,112.5375,50,580,168.86,100,580,260.26,150,580,335.978,200,blue
600,112.8575,50,600,169.3025,100,600,260.875,150,600,336.64,200,blue
