x,y,z,color
0,155.375,150,red 
20,155.395,150,red 
40,155.74625,150,red 
60,156.575,150,red 
80,182.05,150,yellow
100,210.3375,150,yellow
120,217.3125,150,yellow
140,222.855,150,yellow
160,227.6625,150,blue
180,231.6,150,blue
200,234.4825,150,blue
220,236.8,150,blue
240,239.35,150,blue
260,241.705,150,blue
280,243.3,150,blue
300,245.085,150,blue
320,246.45,150,blue
340,247.695,150,blue
360,248.9175,150,blue
380,250.26875,150,blue
400,251.69,150,blue
420,252.88,150,blue
440,254.225,150,blue
460,255.325,150,blue
480,256.3725,150,blue
500,257.2275,150,blue
520,257.9275,150,blue
540,258.665,150,blue
560,259.575,150,blue
580,260.26,150,blue
600,260.875,150,blue
